,k,h,winrate
1,01,01,45.92771084337349
2,01,03,45.15355086372361
3,01,05,45.99904168663153
4,01,10,44.85399712781235
5,01,15,48.37476099426386
6,01,20,47.17973231357552
7,01,40,50.981330780277645
8,03,01,46.20412267471091
9,03,03,49.346733668341706
10,03,05,47.16223003515822
11,03,10,49.197592778335
12,03,15,45.860511791269445
13,03,20,50.77772202709483
14,03,40,52.48618784530387
15,05,01,45.16129032258064
16,05,03,47.354497354497354
17,05,05,47.071240105540895
18,05,10,51.18608328940433
19,05,15,47.9957805907173
20,05,20,48.91934633632051
21,05,40,49.31362196409715
22,10,01,45.1847365233192
23,10,03,45.79552329098608
24,10,05,47.005444646098006
25,10,10,55.205811138014525
26,10,15,52.78450363196126
27,10,20,48.941318814277075
28,10,40,46.666666666666664
29,15,01,45.55792466240228
30,15,03,46.51988636363637
31,15,05,45.09943181818182
32,15,10,53.05397727272727
33,15,15,53.55113636363637
34,15,20,46.41589779985806
35,15,40,48.18763326226013
36,20,01,44.45399828030954
37,20,03,46.689595872742906
38,20,05,44.24398625429553
39,20,10,50.687285223367695
40,20,15,46.649484536082475
41,20,20,46.735395189003434
42,20,40,50.94664371772806
43,40,01,27.876106194690266
44,40,03,35.84070796460177
45,40,05,30.973451327433626
46,40,10,45.13274336283185
47,40,15,54.86725663716814
48,40,20,50
49,40,40,54.22222222222223
